loss_pol_entpen,EpLenMean,loss_pol_surr,loss_ent,ev_tdlam_before,EpRewMean,loss_kl,EpisodesSoFar,EpThisIter,TimestepsSoFar,TimeElapsed,loss_vf_loss
0.0,121.93,-0.06958677,4.1099863,0.7279791831970215,-5.55,0.03168647,1350,33,184320,295.2304012775421,193.21931
0.0,121.5,-0.06787207,4.0872197,0.6857239007949829,-13.0,0.030099945,1383,33,188416,302.5134382247925,167.93456
0.0,124.54,-0.07190022,4.0702477,0.7263390719890594,-9.39,0.031428218,1416,33,192512,309.5810925960541,171.19104
0.0,123.12,-0.071961775,4.0260305,0.7413111329078674,-21.7,0.032227207,1449,33,196608,316.5248019695282,150.70277
0.0,123.64,-0.06365666,4.0046086,0.7354059219360352,-14.94,0.03643688,1482,33,200704,323.24780917167664,163.43297
0.0,123.51,-0.06993285,3.966157,0.7111085653305054,-18.67,0.032230742,1515,33,204800,329.6676301956177,166.29039
0.0,132.06,-0.07014497,3.9201937,0.5321430265903473,-10.1,0.034760967,1542,27,208896,336.2013466358185,142.65407
0.0,139.04,-0.06835995,3.9106178,0.6099909245967865,-1.68,0.03450383,1570,28,212992,342.90844202041626,140.36609
0.0,136.71,-0.06894621,3.871597,0.6754719018936157,-2.87,0.036387578,1605,35,217088,349.48032569885254,138.40979
0.0,130.37,-0.06966479,3.8622274,0.652448296546936,-9.56,0.03694544,1637,32,221184,356.5568895339966,134.92226
0.0,128.9,-0.06640354,3.839507,0.7058836817741394,-18.01,0.03608878,1666,29,225280,363.2835214138031,163.38982
0.0,127.53,-0.07447388,3.8062594,0.7037773728370667,-33.86,0.031433284,1702,36,229376,370.0062925815582,160.99728
0.0,123.31,-0.07085905,3.7413063,0.5774630010128021,-17.76,0.03898142,1736,34,233472,376.9914507865906,124.56589
0.0,111.63,-0.06978291,3.7250712,0.6911270618438721,5.77,0.034755252,1774,38,237568,383.8453812599182,131.42151
0.0,110.59,-0.07247148,3.7239218,0.6688885986804962,9.91,0.035043426,1812,38,241664,390.62149477005005,216.08446
0.0,115.21,-0.070065126,3.6795816,0.675533264875412,14.5,0.032028176,1844,32,245760,397.32528734207153,207.6921
0.0,111.15,-0.0669108,3.6811228,0.6896397471427917,6.89,0.03653361,1884,40,249856,403.8943431377411,159.55386
0.0,123.73,-0.07208153,3.6568758,0.572904646396637,-3.48,0.03578585,1911,27,253952,423.4711833000183,164.4571
0.0,123.44,-0.072689705,3.624905,0.6506635844707489,-6.26,0.040975545,1943,32,258048,429.97393321990967,163.86395
0.0,126.85,-0.06520848,3.5795712,0.7338885366916656,0.2,0.038439427,1980,37,262144,436.29014897346497,197.97852
0.0,127.65,-0.06925556,3.5293078,0.5500727593898773,-0.55,0.035242368,2006,26,266240,443.07332277297974,136.05843
0.0,128.15,-0.07108895,3.504825,0.6103935837745667,-8.24,0.037920225,2037,31,270336,449.7237014770508,135.74582
0.0,135.89,-0.065620236,3.4969363,0.7095067203044891,-11.11,0.042578664,2067,30,274432,456.1591532230377,139.24826
0.0,135.25,-0.06599568,3.4760706,0.6358161568641663,-3.48,0.038244497,2099,32,278528,462.95011949539185,155.43724
0.0,130.38,-0.07421761,3.4314883,0.5877093970775604,7.4,0.044260927,2130,31,282624,469.6165466308594,194.17482
0.0,136.41,-0.07089004,3.3939252,0.5737287104129791,10.59,0.042079616,2156,26,286720,476.46472215652466,147.10983
0.0,142.02,-0.071110725,3.3896909,0.6937341690063477,-0.64,0.040571287,2185,29,290816,483.3052659034729,138.94722
0.0,139.93,-0.07208194,3.3760724,0.5737281739711761,-9.59,0.037896696,2218,33,294912,489.9304533004761,156.83434
0.0,121.88,-0.06369812,3.3942447,0.6812934577465057,10.94,0.038223658,2257,39,299008,496.5501503944397,179.59799
0.0,123.28,-0.07274595,3.3682208,0.6147154271602631,14.51,0.04308978,2284,27,303104,503.1528663635254,148.07306
0.0,131.66,-0.075595945,3.355225,0.7762134671211243,18.72,0.044422973,2313,29,307200,509.4845116138458,132.59846
0.0,138.1,-0.06581418,3.3340418,0.6322673559188843,-9.59,0.050024893,2344,31,311296,515.8757717609406,148.38199
0.0,133.31,-0.07000564,3.2873185,0.6760646998882294,-11.32,0.04801567,2374,30,315392,522.4258332252502,144.1573
0.0,140.14,-0.07514762,3.280791,0.721327155828476,-18.53,0.04125835,2403,29,319488,528.9633877277374,141.68396
0.0,131.08,-0.06277465,3.2439377,0.6424181163311005,-16.09,0.045095008,2439,36,323584,535.7133791446686,146.47287
0.0,131.79,-0.067183465,3.189178,0.5712338089942932,-13.07,0.04964699,2468,29,327680,542.9283103942871,167.8234
0.0,130.32,-0.07753567,3.1743786,0.7072466909885406,-12.18,0.04783008,2497,29,331776,549.7722508907318,141.9827
0.0,133.33,-0.06844706,3.1357112,0.6507192254066467,-4.11,0.04912978,2528,31,335872,556.5832364559174,141.05644
0.0,139.02,-0.07225178,3.091877,0.6752229034900665,4.08,0.043994274,2558,30,339968,563.0129408836365,131.58765
0.0,138.61,-0.073486805,3.0774183,0.6299059391021729,6.55,0.050421987,2586,28,344064,569.4007189273834,129.89325
0.0,144.23,-0.07161162,3.0426776,0.7449703216552734,-5.93,0.03892215,2613,27,348160,575.6879451274872,129.17282
0.0,142.71,-0.06980709,3.0055537,0.6690466701984406,-3.63,0.044433616,2645,32,352256,581.9296162128448,131.97601
0.0,138.85,-0.07474251,2.9749095,0.6746304929256439,-6.14,0.047933437,2670,25,356352,588.2419736385345,118.96869
0.0,138.21,-0.06870165,2.9451442,0.6978025734424591,-16.63,0.04757592,2703,33,360448,594.499856710434,129.54033
0.0,139.63,-0.071407646,2.9348338,0.5889825224876404,-11.61,0.049693394,2729,26,364544,600.9142525196075,144.26619
0.0,137.18,-0.07231069,2.8858225,0.7282374799251556,-6.4,0.04650562,2761,32,368640,607.726705789566,147.24615
0.0,137.86,-0.063792855,2.838679,0.6673588156700134,9.89,0.062161043,2787,26,372736,614.8178629875183,182.85092
0.0,154.84,-0.07156605,2.8127453,0.6141501665115356,12.91,0.05297299,2809,22,376832,621.7359530925751,147.29533
0.0,150.82,-0.07694891,2.794291,0.7040449678897858,16.59,0.052241296,2839,30,380928,628.516193151474,162.27551
0.0,157.53,-0.07443286,2.7759397,0.6589964032173157,10.08,0.0507094,2865,26,385024,635.4385313987732,154.3824
0.0,150.17,-0.078575976,2.695867,0.7012563049793243,2.95,0.05624745,2894,29,389120,642.1903347969055,150.5077
0.0,142.18,-0.07861373,2.7005365,0.6543760597705841,2.21,0.050125353,2921,27,393216,649.052684545517,156.07405
0.0,151.57,-0.07032597,2.6638186,0.7243311703205109,-3.98,0.052637868,2946,25,397312,655.910970211029,126.05062
0.0,153.53,-0.07772563,2.621675,0.6934309005737305,-10.78,0.05504785,2973,27,401408,662.9836332798004,133.22658
0.0,154.55,-0.07646105,2.612228,0.703795313835144,-12.27,0.049713373,3000,27,405504,669.8447024822235,137.3058
0.0,144.31,-0.07337803,2.5531144,0.6021002233028412,-2.71,0.05061054,3032,32,409600,676.6532864570618,170.92793
0.0,144.2,-0.07060493,2.5135484,0.6446252763271332,-0.34,0.06130974,3059,27,413696,683.4467966556549,134.7758
0.0,144.66,-0.07559069,2.4576826,0.714676707983017,21.98,0.061094314,3084,25,417792,690.3098855018616,176.06026
0.0,155.04,-0.0736134,2.4221194,0.6200388073921204,14.68,0.064791024,3109,25,421888,697.1213626861572,150.46338
0.0,159.86,-0.07376189,2.4150546,0.6401064395904541,5.07,0.057567175,3135,26,425984,703.9278688430786,162.03722
0.0,158.98,-0.07440373,2.3981535,0.7280205488204956,-1.17,0.06103966,3163,28,430080,710.5354015827179,126.13032
0.0,149.68,-0.080712736,2.3718278,0.6330879926681519,-8.39,0.056073047,3191,28,434176,717.5807569026947,141.42145
0.0,156.75,-0.0762841,2.3623605,0.5508285760879517,-0.84,0.061186697,3214,23,438272,724.637195110321,154.45047
0.0,156.0,-0.07634937,2.326777,0.722566694021225,-10.62,0.05621765,3242,28,442368,731.4254400730133,118.29995
0.0,159.56,-0.07396285,2.3000016,0.5754338204860687,-8.8,0.06297112,3267,25,446464,738.053778886795,147.62065
0.0,148.16,-0.07837529,2.2682104,0.7607589513063431,-5.02,0.058136467,3298,31,450560,744.3191750049591,130.03702
0.0,144.77,-0.07787554,2.2185824,0.7676008492708206,-7.46,0.06726133,3326,28,454656,750.7001476287842,108.011635
0.0,150.35,-0.07494765,2.2190802,0.7240349054336548,-4.46,0.058936045,3350,24,458752,757.1073005199432,123.30679
0.0,148.39,-0.07142884,2.1871488,0.7046029269695282,10.89,0.0675072,3379,29,462848,763.637363910675,134.43924
0.0,143.54,-0.076506756,2.1627028,0.8032778650522232,25.39,0.061795708,3413,34,466944,770.281619310379,151.06409
0.0,137.29,-0.07339752,2.1645207,0.609020859003067,21.73,0.067851074,3439,26,471040,777.1054713726044,145.76445
0.0,138.43,-0.07493854,2.1515825,0.6903159022331238,12.64,0.06148675,3471,32,475136,783.860791683197,147.90263
0.0,142.05,-0.07674984,2.1244373,0.7366372346878052,-3.05,0.060642775,3496,25,479232,790.588419675827,123.959755
0.0,149.34,-0.077717274,2.1016064,0.6358652114868164,-8.68,0.06424288,3523,27,483328,797.2812266349792,140.70514
0.0,149.62,-0.078496486,2.0708842,0.6508756577968597,-11.39,0.06370514,3549,26,487424,803.6369621753693,132.66666
0.0,152.97,-0.0754402,2.0303497,0.6084446907043457,-16.67,0.057943217,3577,28,491520,810.0455768108368,137.34474
0.0,159.81,-0.07430669,2.022896,0.640870064496994,-22.49,0.064264186,3600,23,495616,816.5784289836884,125.37583
0.0,161.54,-0.075047165,1.9930797,0.6598725616931915,-18.03,0.065463,3625,25,499712,823.1353304386139,101.87275
0.0,163.75,-0.071975164,1.9693147,0.5479815304279327,-15.23,0.06809918,3648,23,503808,846.277619600296,111.52818
0.0,167.87,-0.07931535,1.9285412,0.6676585674285889,-5.04,0.06498866,3675,27,507904,852.9173159599304,135.54929
