EpRewMean,TimestepsSoFar,loss_vf_loss,loss_pol_surr,EpisodesSoFar,EpThisIter,ev_tdlam_before,TimeElapsed,loss_kl,loss_ent,EpLenMean,loss_pol_entpen
7.46,184320,368.2659,-0.04288067,2427,63,0.675688624382019,394.8218824863434,0.025872564,4.509413,67.58,0.0
13.49,188416,333.4508,-0.04970722,2489,62,0.644355446100235,403.9116225242615,0.019857395,4.4599032,64.13,0.0
26.05,192512,342.4079,-0.049830686,2552,63,0.6888898313045502,412.94239711761475,0.02323296,4.4403377,66.02,0.0
1.78,196608,340.61328,-0.048419394,2615,63,0.6445375978946686,421.90932273864746,0.018843321,4.3934603,65.73,0.0
12.18,200704,310.99805,-0.05064946,2685,70,0.6659941971302032,489.62908267974854,0.024627037,4.3453336,62.58,0.0
20.9,204800,363.3641,-0.053964015,2739,54,0.6393212378025055,499.1727890968323,0.022094496,4.3392167,67.59,0.0
30.45,208896,353.89877,-0.057387955,2794,55,0.6038194894790649,508.75759625434875,0.025083715,4.3058505,74.95,0.0
18.05,212992,378.82483,-0.05250376,2849,55,0.53652423620224,518.2345180511475,0.024997376,4.3173327,72.72,0.0
22.73,217088,297.341,-0.049455002,2915,66,0.6741499304771423,527.9762492179871,0.023002323,4.298504,65.85,0.0
40.57,221184,359.4565,-0.051960003,2971,56,0.6849147081375122,537.3721041679382,0.021190155,4.2492685,68.31,0.0
26.67,225280,392.005,-0.051523156,3035,64,0.6903851628303528,545.8718845844269,0.019680817,4.215191,67.09,0.0
9.43,229376,343.9322,-0.05515938,3096,61,0.7064330577850342,555.199599981308,0.023986734,4.188815,65.45,0.0
8.34,233472,319.77634,-0.05319638,3147,51,0.6282207667827606,564.2650170326233,0.027825512,4.1696897,74.31,0.0
2.34,237568,313.8236,-0.054861788,3202,55,0.6987917423248291,573.4732716083527,0.024468303,4.1120467,76.74,0.0
17.49,241664,239.85489,-0.0582135,3260,58,0.7511104047298431,582.6431088447571,0.02508079,4.0891914,71.85,0.0
16.55,245760,331.43137,-0.05741651,3310,50,0.528122752904892,591.8498978614807,0.026602317,4.0610666,76.62,0.0
14.31,249856,283.1282,-0.055908315,3365,55,0.6755019724369049,602.0246183872223,0.024949854,4.031861,79.67,0.0
22.88,253952,290.88318,-0.05468404,3419,54,0.6895561516284943,611.5532515048981,0.026241021,3.9978752,74.7,0.0
17.66,258048,299.76083,-0.05537245,3470,51,0.7162466645240784,620.7035083770752,0.025758652,3.9784737,77.61,0.0
18.31,262144,305.72205,-0.06009578,3523,53,0.6914925277233124,629.7114074230194,0.024972584,3.9569242,78.24,0.0
23.79,266240,294.99374,-0.057732277,3580,57,0.7232756316661835,638.9670708179474,0.030512532,3.9421537,75.91,0.0
7.71,270336,284.69046,-0.05920079,3630,50,0.732841968536377,649.2097680568695,0.02789791,3.9150093,76.09,0.0
9.6,274432,311.4488,-0.05120615,3682,52,0.643433153629303,658.5808310508728,0.029533647,3.8526802,80.32,0.0
11.66,278528,332.07867,-0.058463205,3734,52,0.605217844247818,668.4705080986023,0.028747829,3.8585937,78.16,0.0
14.71,282624,276.49042,-0.057252668,3788,54,0.7205786406993866,677.8853397369385,0.03236187,3.8304288,78.07,0.0
30.24,286720,370.4972,-0.06467465,3835,47,0.6285306811332703,686.7762887477875,0.027353767,3.8290977,81.41,0.0
47.17,290816,261.66122,-0.05504407,3888,53,0.7289654314517975,696.3716108798981,0.028134834,3.824234,81.56,0.0
35.46,294912,290.12677,-0.059541732,3936,48,0.6958467662334442,705.0131998062134,0.02859152,3.7926035,80.98,0.0
29.68,299008,298.48517,-0.06121627,3988,52,0.687714695930481,714.8485181331635,0.030826429,3.7734184,82.39,0.0
18.82,303104,235.48082,-0.06444787,4025,37,0.68196702003479,808.3955464363098,0.03102088,3.7504416,90.61,0.0
9.66,307200,285.49402,-0.06596207,4062,37,0.6370154619216919,818.91450548172,0.032990623,3.7206738,101.5,0.0
-13.12,311296,242.47568,-0.069165915,4096,34,0.7625209540128708,829.5760853290558,0.036881577,3.6828756,114.03,0.0
-5.1,315392,254.68355,-0.0643501,4129,33,0.495028555393219,840.3605506420135,0.04047093,3.6059537,118.38,0.0
0.46,319488,225.03671,-0.06903683,4165,36,0.6039902567863464,850.7369842529297,0.031298835,3.5863504,118.76,0.0
6.67,323584,251.42325,-0.06684533,4199,34,0.5883996784687042,861.0734794139862,0.032849822,3.5543475,119.21,0.0
-1.41,327680,186.48982,-0.071275845,4237,38,0.6707530915737152,871.2942800521851,0.033792023,3.5346644,115.06,0.0
-8.16,331776,163.29059,-0.068056084,4273,36,0.6894889771938324,881.509387254715,0.035290435,3.5068204,114.17,0.0
-4.42,335872,220.20021,-0.06706221,4312,39,0.6971297264099121,891.965577840805,0.038726088,3.4598048,107.81,0.0
-5.04,339968,217.11798,-0.06740699,4350,38,0.6673037111759186,902.4529094696045,0.03598871,3.430965,107.78,0.0
19.15,344064,179.12419,-0.06872386,4385,35,0.7200998961925507,912.6030926704407,0.037095476,3.4287145,110.58,0.0
14.08,348160,204.61343,-0.06213047,4423,38,0.6487110257148743,923.0140490531921,0.033191934,3.4098315,109.23,0.0
4.02,352256,251.19206,-0.06397811,4460,37,0.7204448282718658,933.3186502456665,0.041675244,3.3883822,111.99,0.0
13.99,356352,246.72539,-0.068930104,4497,37,0.7073324620723724,943.5514035224915,0.03471745,3.3783252,109.77,0.0
12.79,360448,253.23093,-0.07061142,4532,35,0.6333067417144775,954.2908043861389,0.033954713,3.365086,113.19,0.0
12.78,364544,206.84097,-0.06891089,4571,39,0.6811214089393616,964.297779083252,0.03828332,3.3406568,110.24,0.0
15.5,368640,195.39688,-0.06753752,4604,33,0.7082860171794891,974.5435495376587,0.035145883,3.3354905,115.53,0.0
17.18,372736,211.24368,-0.06985999,4637,33,0.6285960376262665,984.8092014789581,0.043190952,3.2797077,117.04,0.0
20.47,376832,196.11194,-0.06795052,4673,36,0.6737789213657379,995.5929343700409,0.03496571,3.2689712,119.49,0.0
10.53,380928,177.41263,-0.07150275,4710,37,0.7600862681865692,1005.3613715171814,0.037316207,3.2621927,114.43,0.0
17.33,385024,279.57047,-0.06923962,4743,33,0.5034565627574921,1015.1283071041107,0.041207,3.2232254,117.15,0.0
26.95,389120,181.88765,-0.068541475,4779,36,0.5634614825248718,1025.2350060939789,0.043417078,3.2237809,114.92,0.0
27.73,393216,183.27147,-0.066562496,4818,39,0.6485892832279205,1034.721918106079,0.040178385,3.2234204,112.28,0.0
22.72,397312,206.18304,-0.06787903,4854,36,0.7080957889556885,1045.3287420272827,0.037536886,3.2433164,109.9,0.0
24.1,401408,241.28581,-0.067276336,4890,36,0.657258003950119,1172.3377757072449,0.044646893,3.2159767,111.02,0.0
26.79,405504,200.4922,-0.07183194,4930,40,0.6764861047267914,1182.5299832820892,0.040006097,3.2062533,110.71,0.0
32.71,409600,198.40317,-0.06922906,4968,38,0.7717251777648926,1193.1361021995544,0.038376916,3.1724663,105.75,0.0
29.04,413696,211.20401,-0.07271296,5003,35,0.4594278335571289,1203.7794873714447,0.04616615,3.1190443,112.36,0.0
40.25,417792,221.57565,-0.07148667,5038,35,0.5669704675674438,1214.389330148697,0.04178543,3.0827227,113.31,0.0
26.18,421888,212.03604,-0.06557884,5075,37,0.6374943852424622,1225.086042881012,0.033956815,3.0887897,115.45,0.0
30.93,425984,140.73471,-0.068868905,5110,35,0.5911678671836853,1234.9833807945251,0.046020716,3.0322888,116.36,0.0
19.51,430080,231.92645,-0.06610143,5148,38,0.6562930047512054,1245.0628747940063,0.03810389,3.0262616,110.52,0.0
21.74,434176,261.20044,-0.07437233,5185,37,0.6095592379570007,1255.1121544837952,0.03707389,2.9994051,109.4,0.0
6.76,438272,211.38864,-0.07031596,5221,36,0.6731956303119659,1265.6076838970184,0.042293064,2.9844499,108.23,0.0
26.03,442368,145.50752,-0.074404836,5258,37,0.7898324579000473,1276.2837359905243,0.045595463,2.9527233,112.31,0.0
40.65,446464,150.4707,-0.06555279,5293,35,0.6932004690170288,1286.4585092067719,0.049446363,2.9188435,113.66,0.0
43.79,450560,162.79747,-0.069687866,5328,35,0.7414145469665527,1297.678527355194,0.048981275,2.8843284,114.49,0.0
12.74,454656,166.75867,-0.070748605,5365,37,0.6953147947788239,1308.1977760791779,0.048464358,2.848658,114.37,0.0
3.56,458752,203.95638,-0.07094984,5401,36,0.6080551743507385,1318.549651145935,0.049161613,2.8096814,113.98,0.0
10.65,462848,179.9219,-0.06904614,5441,40,0.5531482398509979,1328.37700009346,0.051979184,2.776585,108.45,0.0
34.11,466944,204.23438,-0.06860306,5480,39,0.6629561483860016,1338.9672858715057,0.049980093,2.7563472,107.31,0.0
29.44,471040,225.74353,-0.07183928,5516,36,0.577062726020813,1349.6240785121918,0.048777115,2.7297263,109.05,0.0
19.13,475136,208.51686,-0.07054552,5552,36,0.6937951743602753,1359.8533346652985,0.046691753,2.689239,110.55,0.0
9.91,479232,217.2071,-0.070782796,5587,35,0.6597605049610138,1369.681803703308,0.05457157,2.6620438,113.42,0.0
7.66,483328,218.43845,-0.071363516,5622,35,0.580670177936554,1380.1008052825928,0.05488355,2.636582,115.34,0.0
9.31,487424,191.02243,-0.066918656,5660,38,0.7088381052017212,1390.518128156662,0.04190354,2.648189,111.85,0.0
8.68,491520,209.32472,-0.06562673,5702,42,0.6914075314998627,1400.4296925067902,0.047714677,2.6556299,104.69,0.0
20.44,495616,199.02307,-0.06466535,5738,36,0.6781778931617737,1411.2877995967865,0.051264893,2.6399522,105.7,0.0
20.18,499712,231.4186,-0.066309296,5774,36,0.6684398651123047,1421.7686800956726,0.061084002,2.6190753,110.78,0.0
-5.75,503808,221.34657,-0.06737192,5813,39,0.7078482508659363,1547.5996277332306,0.052721437,2.590078,108.62,0.0
-8.45,507904,203.67198,-0.0674246,5852,39,0.7000377476215363,1557.2571637630463,0.047435243,2.569078,106.1,0.0
