loss_pol_surr,EpRewMean,loss_kl,TimeElapsed,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,loss_ent,EpLenMean,EpThisIter,loss_pol_entpen,loss_vf_loss
-0.0125386305,-9.27,0.003199569,745.2866010665894,0.7302750051021576,438272,3778,5.5058093,89.92,44,0.0,460.3608
-0.0123231355,-3.89,0.0036512064,752.9102489948273,0.7464073598384857,442368,3823,5.5018206,91.45,45,0.0,498.2836
-0.013193244,5.19,0.0033389064,760.4372894763947,0.7675198912620544,446464,3868,5.4974356,89.06,45,0.0,424.8142
-0.012942769,-2.22,0.0025006842,767.971761226654,0.6771806478500366,450560,3910,5.49052,93.05,42,0.0,485.56207
-0.013857702,-8.35,0.003798174,775.645537853241,0.7133566439151764,454656,3947,5.490762,99.58,37,0.0,489.90936
-0.012961946,-4.53,0.0036190532,783.6524159908295,0.7196988463401794,458752,3993,5.4941077,94.76,46,0.0,428.58868
-0.013887882,-7.77,0.003467085,791.008127450943,0.7206719815731049,462848,4037,5.4889307,95.13,44,0.0,500.24875
-0.014545093,6.57,0.0040373453,798.3128898143768,0.7216737866401672,466944,4080,5.4895906,96.21,43,0.0,506.84644
-0.015165067,-6.28,0.0043487772,805.8317649364471,0.6356195509433746,471040,4117,5.490348,103.11,37,0.0,430.2697
-0.014253794,-3.34,0.0038611547,813.4258844852448,0.7241441607475281,475136,4156,5.4804378,104.42,39,0.0,448.28348
-0.013785245,2.76,0.0039210827,821.01398396492,0.6768695712089539,479232,4201,5.482339,98.77,45,0.0,578.89026
-0.013441721,-1.96,0.0031204075,828.3323776721954,0.7376663386821747,483328,4243,5.47345,94.7,42,0.0,407.8976
-0.013386974,4.02,0.0035265314,835.8153750896454,0.720465213060379,487424,4284,5.465575,96.39,41,0.0,425.50626
-0.017171562,-1.11,0.004493991,843.5348851680756,0.7569129168987274,491520,4322,5.460349,104.6,38,0.0,409.30225
-0.016133929,4.6,0.0047270874,851.0481104850769,0.7132869362831116,495616,4366,5.453368,100.84,44,0.0,464.416
-0.011346045,-5.43,0.0025740385,858.0543556213379,0.7028954029083252,499712,4409,5.450794,93.19,43,0.0,414.5592
-0.013638923,-2.56,0.003047109,876.4350442886353,0.6947426497936249,503808,4450,5.4542127,97.59,41,0.0,449.6835
-0.012990259,-10.15,0.0030927495,884.1056108474731,0.7231947183609009,507904,4489,5.45462,97.09,39,0.0,395.33505
-0.015953414,-18.82,0.0045683556,891.2633123397827,0.6887923777103424,512000,4528,5.447388,105.21,39,0.0,415.37546
-0.012894097,-11.93,0.0036600854,898.6877355575562,0.7145937383174896,516096,4575,5.4405317,96.34,47,0.0,488.99283
-0.013923439,0.6,0.0037325833,905.8430938720703,0.7507293373346329,520192,4618,5.4304113,91.62,43,0.0,388.6931
-0.015597591,-8.37,0.0034756798,913.4105877876282,0.7889226675033569,524288,4661,5.4259424,92.67,43,0.0,382.5762
-0.014903131,-1.05,0.0036456166,920.7865669727325,0.7210015058517456,528384,4694,5.4210176,100.05,33,0.0,404.01797
-0.014398101,14.61,0.0035925745,928.1256937980652,0.621953934431076,532480,4743,5.4182425,101.81,49,0.0,556.79596
-0.014245387,9.01,0.00396384,935.7074644565582,0.6866724491119385,536576,4785,5.415986,92.44,42,0.0,425.63025
-0.014192315,3.78,0.0038835355,943.1820285320282,0.7213909029960632,540672,4827,5.410331,96.54,42,0.0,510.97498
-0.014199468,8.57,0.004160848,950.6436467170715,0.7309364974498749,544768,4872,5.404336,95.36,45,0.0,470.72623
-0.014842116,9.58,0.0037959104,958.0516602993011,0.8144575208425522,548864,4913,5.4025774,95.93,41,0.0,407.6495
-0.015894642,4.7,0.0049809664,965.1862542629242,0.7800377607345581,552960,4957,5.4000883,93.13,44,0.0,405.3707
-0.014289815,5.65,0.004066868,972.9455854892731,0.6931931376457214,557056,4998,5.3896794,97.74,41,0.0,509.59076
-0.014025659,3.36,0.0036637988,980.5142321586609,0.7657235562801361,561152,5050,5.380931,90.11,52,0.0,414.55234
-0.016657474,-1.7,0.0035328956,987.699417591095,0.7227776944637299,565248,5087,5.377797,94.24,37,0.0,466.1674
-0.01577391,7.34,0.0044408552,995.220511674881,0.7636717855930328,569344,5129,5.3762503,99.27,42,0.0,458.84045
-0.014899213,6.95,0.0037687083,1002.3887808322906,0.7465949058532715,573440,5175,5.375558,90.06,46,0.0,393.2885
-0.015089284,-2.05,0.004492676,1009.6003720760345,0.7859273552894592,577536,5224,5.377347,84.98,49,0.0,358.8965
-0.01677504,2.14,0.0040294332,1017.5159981250763,0.7240301072597504,581632,5261,5.3700953,94.68,37,0.0,390.6205
-0.012709254,6.98,0.0024203004,1025.0368030071259,0.7533955723047256,585728,5302,5.3694954,99.85,41,0.0,439.91467
-0.015579372,17.37,0.0036680952,1032.8318173885345,0.666755199432373,589824,5341,5.365287,108.7,39,0.0,509.32996
-0.014981834,5.98,0.0037385188,1040.3210356235504,0.6720286905765533,593920,5376,5.362399,110.67,35,0.0,501.01694
-0.015166365,-4.06,0.00408271,1047.6671657562256,0.7507349401712418,598016,5413,5.352711,113.5,37,0.0,375.44016
-0.016608644,-23.03,0.0046987874,1055.016658782959,0.8144290149211884,602112,5449,5.349154,113.12,36,0.0,323.6421
-0.016614059,-21.19,0.0044572204,1062.0519490242004,0.7712610512971878,606208,5495,5.3440256,104.94,46,0.0,346.72592
-0.014325268,-0.7,0.004013164,1069.0582938194275,0.7733532190322876,610304,5543,5.343841,87.91,48,0.0,399.94162
-0.018630384,2.68,0.004834727,1077.1816511154175,0.7325439453125,614400,5584,5.3397527,93.09,41,0.0,472.97305
-0.017099,-1.23,0.003964461,1085.065092086792,0.66316357254982,618496,5617,5.342183,101.36,33,0.0,337.69824
-0.016308174,-9.36,0.003354324,1092.7007672786713,0.6915294528007507,622592,5661,5.336974,106.65,44,0.0,375.26932
-0.017282177,-11.0,0.004360289,1100.5453119277954,0.7257543206214905,626688,5705,5.328655,102.43,44,0.0,402.7629
-0.016237643,-6.65,0.0032397083,1108.0235924720764,0.7519868910312653,630784,5747,5.3224797,95.41,42,0.0,390.722
-0.015058085,-0.62,0.004200307,1115.208220243454,0.7385672032833099,634880,5802,5.3121448,84.16,55,0.0,434.57663
-0.014887115,12.36,0.003902148,1122.256371498108,0.688481479883194,638976,5842,5.301297,86.53,40,0.0,523.79456
-0.017985053,0.79,0.0047191195,1129.9541568756104,0.6702362596988678,643072,5887,5.302127,94.14,45,0.0,509.31503
-0.015990589,-4.26,0.0034463806,1137.8198869228363,0.7925425469875336,647168,5927,5.2977104,99.63,40,0.0,366.37262
-0.0144961495,3.73,0.0027921828,1144.5450692176819,0.7368079721927643,651264,5969,5.2939234,97.95,42,0.0,439.58502
-0.015644034,1.91,0.0033261674,1152.023945569992,0.7426858246326447,655360,6013,5.28886,94.47,44,0.0,415.1205
-0.017164376,5.84,0.0035139297,1159.7999765872955,0.7930051237344742,659456,6055,5.2846956,93.81,42,0.0,421.793
-0.017877515,-4.51,0.0045923945,1166.976346731186,0.8086452484130859,663552,6099,5.2795405,94.21,44,0.0,330.2626
-0.016725566,-11.55,0.004319511,1174.282561302185,0.7932374626398087,667648,6144,5.2754016,92.4,45,0.0,386.53314
-0.01821411,-5.3,0.004530722,1181.9870374202728,0.7256247997283936,671744,6179,5.266265,97.98,35,0.0,385.87604
-0.017912079,6.07,0.003974669,1189.4078164100647,0.7272382378578186,675840,6216,5.25961,106.19,37,0.0,405.2008
-0.016796337,5.09,0.0034185406,1197.2551889419556,0.7535849511623383,679936,6262,5.255676,103.29,46,0.0,399.1531
-0.018514995,3.04,0.005484966,1204.6493301391602,0.6984268426895142,684032,6302,5.247883,97.84,40,0.0,516.202
-0.018949402,-0.31,0.0038591719,1212.1215906143188,0.7336361110210419,688128,6345,5.239706,94.57,43,0.0,410.84055
-0.015998958,5.71,0.0036926768,1219.356324672699,0.6881834864616394,692224,6384,5.227957,101.99,39,0.0,432.32816
-0.018545449,12.35,0.0035433494,1226.7453455924988,0.732328474521637,696320,6421,5.2196846,106.43,37,0.0,421.5571
-0.01753232,20.79,0.0039684214,1233.8197631835938,0.7135950028896332,700416,6467,5.216891,97.2,46,0.0,418.44177
-0.018400114,18.38,0.004490633,1241.280903339386,0.7731823623180389,704512,6512,5.2164116,89.86,45,0.0,355.44772
-0.017168382,20.15,0.0042816787,1249.1815123558044,0.7281212508678436,708608,6547,5.214629,96.58,35,0.0,485.09134
-0.014645796,19.68,0.0033013327,1256.8634181022644,0.7037842273712158,712704,6593,5.2071953,98.88,46,0.0,488.283
-0.016025845,29.14,0.0036275974,1264.3058836460114,0.6191500425338745,716800,6638,5.2105007,93.67,45,0.0,584.6225
-0.015611125,10.47,0.0029965066,1271.8257312774658,0.7391859591007233,720896,6688,5.2037325,88.97,50,0.0,395.6834
-0.018066723,-11.24,0.0035348735,1279.2195959091187,0.7220207154750824,724992,6732,5.200542,87.96,44,0.0,381.54047
-0.018618636,-15.07,0.0047699544,1286.6952786445618,0.7973925620317459,729088,6775,5.196636,91.88,43,0.0,379.85004
-0.016916344,-21.56,0.0029173177,1294.2179129123688,0.5280106663703918,733184,6803,5.1906104,108.46,28,0.0,358.10074
-0.015059411,-5.1,0.003914949,1301.8153321743011,0.7760382145643234,737280,6856,5.1894417,98.18,53,0.0,355.87683
-0.016811123,-3.69,0.0045683696,1309.1147351264954,0.8065597414970398,741376,6905,5.182065,79.39,49,0.0,337.8932
-0.018540518,3.13,0.0039787237,1317.1750657558441,0.7401136159896851,745472,6944,5.174887,87.51,39,0.0,489.1783
-0.017574,8.24,0.004333711,1324.209254026413,0.7448046207427979,749568,6993,5.172274,92.41,49,0.0,451.55692
-0.017333237,-1.67,0.0041811597,1344.316090106964,0.8179377615451813,753664,7036,5.174277,94.42,43,0.0,415.48285
-0.018802667,5.56,0.004346562,1351.4516820907593,0.7409232556819916,757760,7072,5.15985,96.24,36,0.0,409.00592
-0.018365398,4.05,0.0033509615,1359.1568667888641,0.7336792945861816,761856,7113,5.1521106,102.02,41,0.0,441.12268
-0.019818326,7.14,0.0047216066,1366.5051925182343,0.7773649841547012,765952,7160,5.14725,97.3,47,0.0,399.0954
-0.018450394,-3.48,0.0037613977,1374.1321759223938,0.7436607778072357,770048,7198,5.1361704,92.42,38,0.0,398.7423
-0.018619195,-7.88,0.003725925,1381.8050820827484,0.7199312150478363,774144,7239,5.130431,99.02,41,0.0,417.75085
-0.016670082,-9.77,0.004360985,1388.8957695960999,0.7977928668260574,778240,7287,5.131015,92.25,48,0.0,397.93286
-0.01794933,-12.25,0.005123416,1396.5557334423065,0.7651578038930893,782336,7328,5.122285,94.38,41,0.0,439.9361
-0.017668247,-3.71,0.004124754,1404.0067472457886,0.6997219622135162,786432,7369,5.1132174,96.31,41,0.0,485.9352
-0.01562781,6.53,0.003957853,1411.0362606048584,0.6362934708595276,790528,7418,5.110471,93.24,49,0.0,685.57
-0.016364014,2.23,0.0037983665,1418.0334813594818,0.7700535804033279,794624,7463,5.107596,90.42,45,0.0,418.37308
-0.017511316,-4.85,0.0042056763,1425.3669097423553,0.7784984707832336,798720,7503,5.1047964,90.91,40,0.0,350.92563
-0.019053258,-2.59,0.005265396,1432.3980631828308,0.8093092441558838,802816,7549,5.0974846,92.19,46,0.0,368.63513
-0.020069944,-7.43,0.0041404343,1440.4182274341583,0.7753576934337616,806912,7583,5.093393,106.17,34,0.0,347.88
-0.01920333,-6.56,0.004250994,1448.4471814632416,0.6426388919353485,811008,7622,5.091828,103.7,39,0.0,423.3495
-0.017328737,6.17,0.004794243,1456.3744893074036,0.7795719802379608,815104,7673,5.085245,93.83,51,0.0,420.48526
-0.018019985,9.65,0.0044895667,1463.6574261188507,0.7725800573825836,819200,7717,5.077099,88.05,44,0.0,438.12888
-0.018961845,21.5,0.004702397,1471.1833169460297,0.7261776030063629,823296,7759,5.077707,90.48,42,0.0,514.05084
-0.016236193,22.68,0.00292983,1478.3175282478333,0.7159729599952698,827392,7800,5.075042,98.18,41,0.0,501.76447
-0.021410514,6.04,0.0043672533,1486.153926372528,0.7386835217475891,831488,7834,5.0724797,103.61,34,0.0,358.42642
-0.017513681,-5.69,0.004504622,1494.2865262031555,0.8054891973733902,835584,7869,5.067627,110.87,35,0.0,376.92047
-0.016387787,-1.51,0.0030669847,1501.9972999095917,0.8268514275550842,839680,7918,5.064513,95.14,49,0.0,393.41037
-0.01723055,2.16,0.0035029766,1509.391807794571,0.76497383415699,843776,7962,5.0579844,89.31,44,0.0,402.66534
-0.017251985,17.35,0.003185315,1516.5990061759949,0.7893276810646057,847872,8009,5.049969,89.99,47,0.0,395.56924
-0.016016034,11.94,0.0044940836,1524.2696335315704,0.7952922731637955,851968,8061,5.044199,86.7,52,0.0,390.86084
-0.020357471,-2.67,0.0045638247,1531.761046886444,0.7900878638029099,856064,8103,5.0315256,89.88,42,0.0,360.1411
-0.018455848,-12.59,0.004271341,1538.9245655536652,0.7505065053701401,860160,8146,5.0257845,92.15,43,0.0,502.51028
-0.02029928,-14.09,0.0048213643,1546.233202457428,0.7371547520160675,864256,8189,5.026318,95.27,43,0.0,375.1949
-0.015067409,-11.55,0.0030120614,1553.4996497631073,0.7326002717018127,868352,8230,5.0228276,98.49,41,0.0,500.02704
-0.018416751,10.48,0.005420618,1561.1681711673737,0.719056636095047,872448,8277,5.0173674,91.92,47,0.0,545.6378
-0.01810821,17.5,0.004647238,1568.5529944896698,0.8112237006425858,876544,8318,5.016297,93.83,41,0.0,436.70474
-0.020232664,9.76,0.0048119877,1575.796739578247,0.7676889598369598,880640,8364,5.0084224,96.15,46,0.0,412.98965
-0.020546583,2.13,0.0052082418,1583.304612159729,0.713725209236145,884736,8398,5.00828,102.05,34,0.0,447.78748
-0.01696781,-3.59,0.0041669207,1590.730636358261,0.7497833073139191,888832,8440,5.0023384,102.12,42,0.0,485.68356
