EpLenMean,TimeElapsed,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,ev_tdlam_before,EpRewMean,EpThisIter,loss_kl,EpisodesSoFar,loss_ent,loss_vf_loss
135.08,3467.0047347545624,-0.017968409,0.0,1003520,0.7694238275289536,13.42,33,0.0054164743,8678,4.9799595,382.8037
134.74,3476.4947719573975,-0.018552689,0.0,1007616,0.669356107711792,7.95,30,0.004867035,8708,4.9704165,437.5292
131.65,3485.791293859482,-0.019639367,0.0,1011712,0.6699732542037964,-0.51,31,0.005448888,8739,4.9648013,524.02545
136.04,3495.048500776291,-0.02011495,0.0,1015808,0.7553548663854599,8.51,28,0.004392867,8767,4.961549,364.55658
137.92,3504.5168147087097,-0.017284324,0.0,1019904,0.7628212422132492,4.32,29,0.004447661,8796,4.949017,346.68356
142.76,3513.537045478821,-0.017908819,0.0,1024000,0.7053754329681396,1.6,27,0.0038523145,8823,4.9558315,395.77573
142.03,3522.405240058899,-0.016888974,0.0,1028096,0.7502149641513824,15.52,30,0.004288882,8853,4.9541936,393.58978
138.97,3531.6382479667664,-0.017267497,0.0,1032192,0.7773754894733429,19.87,31,0.0038400155,8884,4.9486885,395.52655
142.16,3540.913408279419,-0.01796437,0.0,1036288,0.6667223274707794,13.46,25,0.004719024,8909,4.9405856,400.64868
139.76,3550.037161588669,-0.018817443,0.0,1040384,0.6720296740531921,9.93,31,0.004886716,8940,4.9329214,352.9957
142.6,3558.7746953964233,-0.018853988,0.0,1044480,0.7000002562999725,13.23,31,0.004695262,8971,4.923398,469.2325
129.22,3567.9461076259613,-0.017798498,0.0,1048576,0.7901848405599594,15.12,34,0.004691803,9005,4.9199033,349.384
134.43,3577.10905957222,-0.022151839,0.0,1052672,0.672219306230545,13.05,27,0.0057518603,9032,4.908786,422.30673
136.25,3586.5724272727966,-0.01998893,0.0,1056768,0.6986210942268372,11.75,28,0.0050350204,9060,4.9065456,370.2341
141.41,3596.6612317562103,-0.0194757,0.0,1060864,0.7159613072872162,13.81,29,0.004503463,9089,4.899295,419.86362
146.19,3606.2794573307037,-0.016472943,0.0,1064960,0.6876767873764038,24.03,29,0.004478381,9118,4.9075933,446.3491
140.59,3615.651176929474,-0.01952717,0.0,1069056,0.7350718677043915,19.99,30,0.0047899587,9148,4.905457,419.6088
139.26,3625.349412918091,-0.019231468,0.0,1073152,0.6827144920825958,9.5,30,0.0039978833,9178,4.907534,422.07413
131.57,3635.036514520645,-0.01875826,0.0,1077248,0.7556441426277161,-9.81,33,0.0053204345,9211,4.905192,371.3764
131.04,3644.5789127349854,-0.0189921,0.0,1081344,0.5501365065574646,-5.75,31,0.0039697983,9242,4.9044285,465.98837
133.11,3654.1120612621307,-0.01847392,0.0,1085440,0.6058518290519714,-7.28,28,0.0043841996,9270,4.902371,464.73965
136.84,3664.33043551445,-0.018674865,0.0,1089536,0.7124335765838623,1.57,31,0.0047740103,9301,4.896963,394.44952
134.77,3674.267669200897,-0.019888617,0.0,1093632,0.6983465850353241,13.46,32,0.005272066,9333,4.8983126,402.70297
133.77,3684.3072781562805,-0.018209733,0.0,1097728,0.7557365894317627,11.87,30,0.0042875176,9363,4.892087,312.54028
133.54,3822.7197291851044,-0.01894082,0.0,1101824,0.7274416983127594,14.73,29,0.0047525605,9392,4.885801,396.68604
138.64,3831.5698075294495,-0.018082153,0.0,1105920,0.6307136416435242,19.25,31,0.003923056,9423,4.878757,356.27036
135.02,3841.4936232566833,-0.01824064,0.0,1110016,0.7240115404129028,18.51,31,0.0047626435,9454,4.875919,390.7493
135.1,3851.454302072525,-0.017408665,0.0,1114112,0.716884583234787,25.41,29,0.0034076842,9483,4.87259,351.92133
138.28,3861.1637971401215,-0.018714841,0.0,1118208,0.635549932718277,19.32,28,0.004143962,9511,4.8634367,402.8017
139.01,3870.6243834495544,-0.020756256,0.0,1122304,0.7364609241485596,23.97,30,0.004280135,9541,4.862528,322.9813
141.89,3879.8238728046417,-0.018633291,0.0,1126400,0.6688388586044312,32.04,30,0.0048817233,9571,4.8632236,423.89145
134.47,3888.5617372989655,-0.01904814,0.0,1130496,0.769057109951973,27.14,32,0.0045139906,9603,4.8624477,353.43945
137.11,3898.303786277771,-0.018050127,0.0,1134592,0.706072986125946,18.45,27,0.004012441,9630,4.860492,369.83273
139.66,3907.5794265270233,-0.018775754,0.0,1138688,0.7792552560567856,17.74,29,0.004143553,9659,4.856311,370.70004
139.59,3917.209507703781,-0.020517725,0.0,1142784,0.7473735511302948,10.78,31,0.004291527,9690,4.8537283,339.2247
